experiment_id,run_type,seed,protocol,detector,calibration_policy,calibration_deployment_status,calibration_uses_target_real_records,calibration_uses_target_labels,quantifier,quantifier_status,test_table,test_generator,generator_quality,bag_id,bag_index,bag_size,contamination_mode,nominal_prevalence,true_prevalence,estimated_prevalence,prevalence_error,prevalence_absolute_error,prevalence_squared_error,source_validation_auroc,source_validation_ece,detection_auroc,detection_auprc,detection_brier,detection_ece,detection_fpr,detection_tpr,detector_threshold,calibration_reference_fpr,calibration_reference_tpr,ranking_shift,calibration_shift,threshold_fpr_shift,artifact_auroc,artifact_gate_passed,expected_positive_rate,true_positive_mass,false_positive_mass,false_positive_share,observed_positive_rate,detection_error_contribution,bag_sampling_error_contribution,quantifier_adjustment_contribution,error_decomposition_sum,error_decomposition_residual,clean_utility,contaminated_utility,detector_cleanup_utility,oracle_cleanup_utility,contaminated_utility_delta,detector_cleanup_delta,oracle_cleanup_delta,cleanup_precision,cleanup_recall,governance_prevalence_threshold,true_prevalence_decision_remediate,estimated_decision_remediate,prevalence_decision_error,best_available_decision_remediate,decision_error,policy_utility,decision_regret,oracle_cleanup_gap,detectability_harm_quadrant
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7096937211718883,0.7126466168786023,,0.7126466168786023,0.002952895706713976,,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.9661655431911543,0.9661655431911543,0.9661655431911543,0.9334758568498583,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.03383445680884567,0.9661655431911543,0.0,0.7096937211718883,0.7126466168786023,,0.7126466168786023,0.002952895706713976,,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7096937211718883,0.7126466168786023,,0.7126466168786023,0.002952895706713976,,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,,,,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.045,0.045,0.045,0.002025,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.045,0.052361396303901436,-0.007361396303901438,0.0,0.045,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,False,0,False,0.0,0.7126466168786023,0.0024968789013732895,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.9661655431911543,0.9661655431911543,0.9661655431911543,0.9334758568498583,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.045,0.052361396303901436,-0.007361396303901438,0.9211655431911543,0.9661655431911543,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,0.7151434957799756,0.0,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,target_real_anchor,deployable_with_clean_target_threshold_anchor,True,False,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-target_real_anchor-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,0.052361396303901436,0.07802874743326489,0.9787261180411946,0.05,,-0.2790900612206848,0.44792113643432024,0.0023613963039014335,0.5414813645543894,True,0.052361396303901436,0.0,0.052361396303901436,1.0,0.045,0.052361396303901436,-0.007361396303901438,0.955,1.0,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,0.7151434957799756,0.0,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.045,0.045,0.045,0.002025,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.045,0.052874743326488706,-0.007874743326488708,0.0,0.045,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,False,0,False,0.0,0.7126466168786023,0.0024968789013732895,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,pcc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.4790868896189744,0.4790868896189744,0.4790868896189744,0.22952424780478334,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.045,0.052874743326488706,-0.007874743326488708,0.4340868896189744,0.4790868896189744,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,True,1,False,1.0,0.7151434957799756,0.0,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,oracle_target,diagnostic_oracle_not_deployable,True,True,pacc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-oracle_target-credit-CTGAN-replace-0.000-0,0,1000,replace,0.0,0.0,0.0,0.0,0.0,0.0,0.9006605447155767,0.3808122079918312,0.6215704834948919,0.5878491815503728,0.2393989402437161,0.03210316274891588,0.052874743326488706,0.08008213552361396,0.5815656363906166,0.04996577686516085,0.07700205338809035,-0.2790900612206848,-0.3487090452429153,0.002908966461327857,0.5414813645543894,True,0.052874743326488706,0.0,0.052874743326488706,1.0,0.045,0.052874743326488706,-0.007874743326488708,-0.045,0.0,0.0,0.7096937211718883,0.7126466168786023,0.7151434957799756,0.7126466168786023,0.002952895706713976,0.0054497746080872655,0.002952895706713976,0.0,1.0,0.1,False,False,0,False,0.0,0.7126466168786023,0.0024968789013732895,-0.0024968789013732895,low_detectability__low_harm
governance-calibration-probe-v1,pilot,2026,P3,char3gram,source_only,deployable_without_target_data,False,False,cc,ok,credit,CTGAN,0.8992893213626543,2026-P3-char3gram-source_only-credit-CTGAN-replace-0.000-1,1,1000,replace,0.0,0.0,1.0,1.0,1.0,1.0,0.9006605447155767,0.02159026508973931,0.6215704834948919,0.5878491815503728,0.4681973401086264,0.46951140152405957,1.0,1.0,0.7721722246291797,0.04995159728944821,0.6559535333978703,-0.2790900612206848,0.44792113643432024,0.9500484027105518,0.5414813645543894,True,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,1.0,0.1,False,True,1,False,,,,,harm_not_evaluated
