protocol,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,artifact_auroc,5,0.5375388805579717,0.004122103564488851,0.5324206129650785,0.542657148150865
P2,artifact_auroc,5,0.50689574325474,0.009630521106326572,0.49493787191307276,0.5188536145964071
P3,artifact_auroc,5,0.5458007791912096,0.008391404215042614,0.5353814746830159,0.5562200836994033
P4,artifact_auroc,5,0.5104609740311761,0.005633517855566594,0.503466037726681,0.5174559103356712
