seed,protocol,detector,calibration_policy,detection_auroc,detection_auprc,detection_fpr,detection_tpr,detection_ece
2026,P1,c2st_lr,oracle_target,0.7099657469440199,0.7038142306253563,0.046343001261034,0.1992433795712484,0.0191392885356507
2026,P1,c2st_lr,source_only,0.7099657469440199,0.7038142306253563,0.046343001261034,0.1992433795712484,0.0191392885356507
2026,P1,c2st_lr,target_real_anchor,0.7099657469440199,0.7038142306253563,0.0636822194199243,0.2263556116015132,0.0191392885356507
2026,P1,c2st_xgb,oracle_target,0.9396710299292836,0.9524835454685908,0.0472887767969735,0.7805800756620429,0.0191489138503084
2026,P1,c2st_xgb,source_only,0.9396710299292836,0.9524835454685908,0.0472887767969735,0.7805800756620429,0.0191489138503084
2026,P1,c2st_xgb,target_real_anchor,0.9396710299292836,0.9524835454685908,0.0643127364438839,0.8073770491803278,0.0191489138503084
2026,P1,char3gram,oracle_target,0.8995373889439277,0.9140070258106368,0.0539092055485498,0.6617276166456494,0.02228442191812
2026,P1,char3gram,source_only,0.8995373889439277,0.9140070258106368,0.0539092055485498,0.6617276166456494,0.02228442191812
2026,P1,char3gram,target_real_anchor,0.8995373889439277,0.9140070258106368,0.0548549810844892,0.6645649432534678,0.02228442191812
2026,P1,column_positional_ablation,oracle_target,0.9182825984457316,0.9386579065186088,0.0498108448928121,0.7654476670870114,0.020869030947755
2026,P1,column_positional_ablation,source_only,0.9182825984457316,0.9386579065186088,0.0498108448928121,0.7654476670870114,0.020869030947755
2026,P1,column_positional_ablation,target_real_anchor,0.9182825984457316,0.9386579065186088,0.0494955863808322,0.7648171500630517,0.020869030947755
2026,P1,datum_transformer,oracle_target,0.838726536497633,0.8849581826653494,0.0535939470365699,0.6658259773013872,0.0042650809823819
2026,P1,datum_transformer,source_only,0.838726536497633,0.8849581826653494,0.0535939470365699,0.6658259773013872,0.0042650809823819
2026,P1,datum_transformer,target_real_anchor,0.838726536497633,0.8849581826653494,0.0532786885245901,0.6658259773013872,0.0042650809823819
2026,P1,flat_transformer,oracle_target,0.907479378992413,0.9263289081977888,0.051702395964691,0.7127994955863808,0.0247246997688821
2026,P1,flat_transformer,source_only,0.907479378992413,0.9263289081977888,0.051702395964691,0.7127994955863808,0.0247246997688821
2026,P1,flat_transformer,target_real_anchor,0.907479378992413,0.9263289081977888,0.0469735182849936,0.7027112232030265,0.0247246997688821
2026,P2,c2st_lr,oracle_target,0.6231554594187156,0.5895721593179644,0.0561160151324085,0.0939470365699873,0.0117721310914088
2026,P2,c2st_lr,source_only,0.3768445405812842,0.4091865015746601,0.046343001261034,0.0078814627994955,0.2262081414389155
2026,P2,c2st_lr,target_real_anchor,0.3768445405812842,0.4091865015746601,0.0636822194199243,0.0126103404791929,0.2262081414389155
2026,P2,c2st_xgb,oracle_target,0.7402988932955289,0.8144396953705155,0.0472887767969735,0.5277427490542245,0.089393187571957
2026,P2,c2st_xgb,source_only,0.7402988932955289,0.8144396953705155,0.0472887767969735,0.5283732660781841,0.1680716174212722
2026,P2,c2st_xgb,target_real_anchor,0.7402988932955289,0.8144396953705155,0.0643127364438839,0.5368852459016393,0.1680716174212722
2026,P2,char3gram,oracle_target,0.7248288142304433,0.7788432464689219,0.0539092055485498,0.4192938209331652,0.0663816325259996
