seed,protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,real_mean_value,synthetic_mean_value,synthetic_negative_value_rate,source_task_value_gap
2026,P1,adult,CTGAN,append,0.0,data_oob,0.8096569129982656,,,
2026,P1,adult,CTGAN,append,0.0,knn_shapley,0.0007663999999999669,,,
2026,P1,adult,CTGAN,append,0.050332383665717,data_oob,0.835613562486488,0.8613575901490201,0.0,-0.025744027662532143
2026,P1,adult,CTGAN,append,0.050332383665717,knn_shapley,0.0007717476289677591,0.0007227547642024967,0.1346153846153846,4.899286476526242e-05
2026,P1,adult,CTGAN,append,0.0999099909990999,data_oob,0.81352685099257,0.8792491726426469,0.0,-0.06572232165007685
2026,P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,0.0007554396544153513,0.000921717552303724,0.058823529411764705,-0.00016627789788837264
2026,P1,adult,CTGAN,append,0.2498124531132783,data_oob,0.8316045376857377,0.8194782343060641,0.0,0.012126303379673575
2026,P1,adult,CTGAN,append,0.2498124531132783,knn_shapley,0.0007690243425093475,0.0008259605045820704,0.109375,-5.6936162072722916e-05
2026,P1,adult,CTGAN,append,0.5,data_oob,0.8292195063126586,0.8219335114909846,0.0,0.0072859948216740245
2026,P1,adult,CTGAN,append,0.5,knn_shapley,0.0007964594287917676,0.0007138535362007053,0.10700389105058365,8.260589259106229e-05
2026,P1,adult,CTGAN,append,0.75,data_oob,0.746505132164827,0.8293144131839969,0.0,-0.08280928101916996
2026,P1,adult,CTGAN,append,0.75,knn_shapley,0.0006664956567034104,0.0008266878581635358,0.13981358189081225,-0.00016019220146012536
2026,P1,adult,CTGAN,replace,0.0,data_oob,0.8096569129982656,,,
2026,P1,adult,CTGAN,replace,0.0,knn_shapley,0.0007663999999999669,,,
2026,P1,adult,CTGAN,replace,0.05,data_oob,0.8410602758585932,0.8410500005494508,0.0,1.0275309142437905e-05
2026,P1,adult,CTGAN,replace,0.05,knn_shapley,0.0007877020624212026,0.000737660813996424,0.08,5.0041248424778596e-05
2026,P1,adult,CTGAN,replace,0.1,data_oob,0.8190799213824218,0.7632527814726222,0.0,0.055827139909799595
2026,P1,adult,CTGAN,replace,0.1,knn_shapley,0.0007995836528920969,0.000639747123970753,0.17,0.0001598365289213439
2026,P1,adult,CTGAN,replace,0.25,data_oob,0.819609607568573,0.8297388562661425,0.0,-0.010129248697569482
2026,P1,adult,CTGAN,replace,0.25,knn_shapley,0.0007508054896521991,0.0008691835310432632,0.092,-0.00011837804139106412
