seed,protocol,detector,calibration_policy,quantifier,contamination_mode,true_prevalence,prevalence_absolute_error,prevalence_error,false_positive_share,prevalence_decision_error,decision_regret
2026,P1,c2st_lr,oracle_target,acc,replace,0.05,0.032555399698340835,0.013020015082956233,0.8154744525547446,0.2,0.0
2026,P1,c2st_lr,oracle_target,acc,replace,0.1,0.04041321266968321,0.00486286576168927,0.6767263427109974,0.44,0.0007979282335344128
2026,P1,c2st_lr,oracle_target,cc,replace,0.05,0.008719999999999927,0.008499999999999928,0.8154744525547446,0.0,0.0
2026,P1,c2st_lr,oracle_target,cc,replace,0.1,0.035590000000000004,-0.035590000000000004,0.6767263427109974,1.0,0.00021004600500687298
2026,P1,c2st_lr,oracle_target,dys,replace,0.05,0.03516397672242412,0.00766218926237109,0.8154744525547446,0.17,0.0
2026,P1,c2st_lr,oracle_target,dys,replace,0.1,0.035935735190422514,0.008406195434734736,0.6767263427109974,0.38,0.0
2026,P1,c2st_lr,oracle_target,emq,replace,0.05,0.02613695856968512,0.0036811305772839757,0.8154744525547446,0.1,0.0
2026,P1,c2st_lr,oracle_target,emq,replace,0.1,0.02927146940856305,-0.003865971875213428,0.6767263427109974,0.55,0.00021004600500687298
2026,P1,c2st_lr,oracle_target,hdy,replace,0.05,0.027180295269016025,-0.0018333780368852382,0.8154744525547446,0.08,0.0
2026,P1,c2st_lr,oracle_target,hdy,replace,0.1,0.029997946172747553,-0.00603126891506125,0.6767263427109974,0.55,0.00021004600500687298
2026,P1,c2st_lr,oracle_target,kdey,replace,0.05,0.02863952865498885,-0.013113478131048472,0.8154744525547446,0.05,0.0
2026,P1,c2st_lr,oracle_target,kdey,replace,0.1,0.03320228527876134,-0.019007852716411183,0.6767263427109974,0.65,0.00021004600500687298
2026,P1,c2st_lr,oracle_target,median_sweep,replace,0.05,0.033886420745601956,-0.005400248747397708,0.8154744525547446,0.11,0.0
2026,P1,c2st_lr,oracle_target,median_sweep,replace,0.1,0.03327867365947776,-0.005908065519921369,0.6767263427109974,0.52,0.00020780431872072003
2026,P1,c2st_lr,oracle_target,pacc,replace,0.05,0.030029392869322078,-0.006563054358012368,0.8154744525547446,0.07,0.0
2026,P1,c2st_lr,oracle_target,pacc,replace,0.1,0.03132949647459975,-0.009134017852178353,0.6767263427109974,0.56,0.00020780431872072003
2026,P1,c2st_lr,oracle_target,pcc,replace,0.05,0.3936561309053257,0.3936561309053257,0.8154744525547446,1.0,0.0010192947542859401
2026,P1,c2st_lr,oracle_target,pcc,replace,0.1,0.3498092030068813,0.3498092030068813,0.6767263427109974,0.0,0.00076508752944312
2026,P1,c2st_lr,source_only,acc,replace,0.05,0.032555399698340835,0.013020015082956233,0.8154744525547446,0.2,0.0
2026,P1,c2st_lr,source_only,acc,replace,0.1,0.04041321266968321,0.00486286576168927,0.6767263427109974,0.44,0.0007979282335344128
2026,P1,c2st_lr,source_only,cc,replace,0.05,0.008719999999999927,0.008499999999999928,0.8154744525547446,0.0,0.0
2026,P1,c2st_lr,source_only,cc,replace,0.1,0.035590000000000004,-0.035590000000000004,0.6767263427109974,1.0,0.00021004600500687298
2026,P1,c2st_lr,source_only,dys,replace,0.05,0.03516397672242412,0.00766218926237109,0.8154744525547446,0.17,0.0
2026,P1,c2st_lr,source_only,dys,replace,0.1,0.035935735190422514,0.008406195434734736,0.6767263427109974,0.38,0.0
2026,P1,c2st_lr,source_only,emq,replace,0.05,0.02613695856968512,0.0036811305772839757,0.8154744525547446,0.1,0.0
2026,P1,c2st_lr,source_only,emq,replace,0.1,0.02927146940856305,-0.003865971875213428,0.6767263427109974,0.55,0.00021004600500687298
2026,P1,c2st_lr,source_only,hdy,replace,0.05,0.027180295269016025,-0.0018333780368852382,0.8154744525547446,0.08,0.0
2026,P1,c2st_lr,source_only,hdy,replace,0.1,0.029997946172747553,-0.00603126891506125,0.6767263427109974,0.55,0.00021004600500687298
2026,P1,c2st_lr,source_only,kdey,replace,0.05,0.02863952865498885,-0.013113478131048472,0.8154744525547446,0.05,0.0
2026,P1,c2st_lr,source_only,kdey,replace,0.1,0.03320228527876134,-0.019007852716411183,0.6767263427109974,0.65,0.00021004600500687298
2026,P1,c2st_lr,source_only,median_sweep,replace,0.05,0.033886420745601956,-0.005400248747397708,0.8154744525547446,0.11,0.0
2026,P1,c2st_lr,source_only,median_sweep,replace,0.1,0.03327867365947776,-0.005908065519921369,0.6767263427109974,0.52,0.00020780431872072003
2026,P1,c2st_lr,source_only,pacc,replace,0.05,0.030029392869322078,-0.006563054358012368,0.8154744525547446,0.07,0.0
2026,P1,c2st_lr,source_only,pacc,replace,0.1,0.03132949647459975,-0.009134017852178353,0.6767263427109974,0.56,0.00020780431872072003
2026,P1,c2st_lr,source_only,pcc,replace,0.05,0.3936561309053257,0.3936561309053257,0.8154744525547446,1.0,0.0010192947542859401
2026,P1,c2st_lr,source_only,pcc,replace,0.1,0.3498092030068813,0.3498092030068813,0.6767263427109974,0.0,0.00076508752944312
2026,P1,c2st_lr,target_real_anchor,acc,replace,0.05,0.03475083221476504,0.011987879194630824,0.8424056189640035,0.2,0.0
2026,P1,c2st_lr,target_real_anchor,acc,replace,0.1,0.0426100939597315,-0.0021506308724832724,0.7168769716088328,0.51,0.00115525302753742
2026,P1,c2st_lr,target_real_anchor,cc,replace,0.05,0.02283999999999994,0.02283999999999994,0.8424056189640035,0.0,0.0
2026,P1,c2st_lr,target_real_anchor,cc,replace,0.1,0.02129,-0.021230000000000002,0.7168769716088328,0.99,0.00017821405974431385
2026,P1,c2st_lr,target_real_anchor,dys,replace,0.05,0.03516397672242412,0.00766218926237109,0.8424056189640035,0.17,0.0
2026,P1,c2st_lr,target_real_anchor,dys,replace,0.1,0.035935735190422514,0.008406195434734736,0.7168769716088328,0.38,2.690023543302e-05
2026,P1,c2st_lr,target_real_anchor,emq,replace,0.05,0.02613695856968512,0.0036811305772839757,0.8424056189640035,0.1,0.0
2026,P1,c2st_lr,target_real_anchor,emq,replace,0.1,0.02927146940856305,-0.003865971875213428,0.7168769716088328,0.55,0.00017821405974431385
2026,P1,c2st_lr,target_real_anchor,hdy,replace,0.05,0.027180295269016025,-0.0018333780368852382,0.8424056189640035,0.08,0.0
2026,P1,c2st_lr,target_real_anchor,hdy,replace,0.1,0.029997946172747553,-0.00603126891506125,0.7168769716088328,0.55,0.00017821405974431385
2026,P1,c2st_lr,target_real_anchor,kdey,replace,0.05,0.02863952865498885,-0.013113478131048472,0.8424056189640035,0.05,0.0
2026,P1,c2st_lr,target_real_anchor,kdey,replace,0.1,0.03320228527876134,-0.019007852716411183,0.7168769716088328,0.65,0.00017821405974431385
2026,P1,c2st_lr,target_real_anchor,median_sweep,replace,0.05,0.033886420745601956,-0.005400248747397708,0.8424056189640035,0.11,0.0
2026,P1,c2st_lr,target_real_anchor,median_sweep,replace,0.1,0.03327867365947776,-0.005908065519921369,0.7168769716088328,0.52,0.00020511429517733386
2026,P1,c2st_lr,target_real_anchor,pacc,replace,0.05,0.030029392869322078,-0.006563054358012368,0.8424056189640035,0.07,0.0
2026,P1,c2st_lr,target_real_anchor,pacc,replace,0.1,0.03132949647459975,-0.009134017852178353,0.7168769716088328,0.56,0.00020511429517733386
2026,P1,c2st_lr,target_real_anchor,pcc,replace,0.05,0.3936561309053257,0.3936561309053257,0.8424056189640035,1.0,0.00071308040760582
2026,P1,c2st_lr,target_real_anchor,pcc,replace,0.1,0.3498092030068813,0.3498092030068813,0.7168769716088328,0.0,0.0011370953686199799
2026,P1,c2st_xgb,oracle_target,acc,replace,0.05,0.007392574867058446,-0.00136665267282395,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,acc,replace,0.1,0.007191819199552153,-0.0028780044780296454,0.35284892838473586,0.56,0.00120692389643182
2026,P1,c2st_xgb,oracle_target,cc,replace,0.05,0.03634999999999994,0.03634999999999994,0.5351107773188134,0.01,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,cc,replace,0.1,0.022769999999999926,0.022769999999999926,0.35284892838473586,0.0,0.0006013323462440801
2026,P1,c2st_xgb,oracle_target,dys,replace,0.05,0.004534455872854345,0.000977809365253059,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,dys,replace,0.1,0.005398359090465682,6.522688087365179e-05,0.35284892838473586,0.5,0.00084702116319976
2026,P1,c2st_xgb,oracle_target,emq,replace,0.05,0.005378663249810415,-0.003744090144650408,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,emq,replace,0.1,0.005163060393976957,-0.0020033256685682214,0.35284892838473586,0.56,0.00103599531711732
2026,P1,c2st_xgb,oracle_target,hdy,replace,0.05,0.004696197293899303,0.0017083793227650728,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,hdy,replace,0.1,0.005171275147063931,0.0013780821162304605,0.35284892838473586,0.41,0.00084702116319976
2026,P1,c2st_xgb,oracle_target,kdey,replace,0.05,0.0056307978594422855,0.0037218982833296904,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,kdey,replace,0.1,0.006027997706722016,0.0042735016991300966,0.35284892838473586,0.21,0.0006013323462440801
2026,P1,c2st_xgb,oracle_target,median_sweep,replace,0.05,0.007834195232057141,0.004679008561685638,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,median_sweep,replace,0.1,0.006667152120006502,0.003949694137795174,0.35284892838473586,0.29,0.00079030650016164
2026,P1,c2st_xgb,oracle_target,pacc,replace,0.05,0.009803422520055106,0.007106390207216087,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,oracle_target,pacc,replace,0.1,0.008372971549713362,0.00625566997200897,0.35284892838473586,0.2,0.0006013323462440801
2026,P1,c2st_xgb,oracle_target,pcc,replace,0.05,0.16474642897496536,0.16474642897496536,0.5351107773188134,1.0,0.0014824271409925
2026,P1,c2st_xgb,oracle_target,pcc,replace,0.1,0.14641064819245939,0.14641064819245939,0.35284892838473586,0.0,0.0006013323462440801
2026,P1,c2st_xgb,source_only,acc,replace,0.05,0.007392574867058446,-0.00136665267282395,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,acc,replace,0.1,0.007191819199552153,-0.0028780044780296454,0.35284892838473586,0.56,0.00120692389643182
2026,P1,c2st_xgb,source_only,cc,replace,0.05,0.03634999999999994,0.03634999999999994,0.5351107773188134,0.01,0.00015904764199822
2026,P1,c2st_xgb,source_only,cc,replace,0.1,0.022769999999999926,0.022769999999999926,0.35284892838473586,0.0,0.0006013323462440801
2026,P1,c2st_xgb,source_only,dys,replace,0.05,0.004534455872854345,0.000977809365253059,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,dys,replace,0.1,0.005398359090465682,6.522688087365179e-05,0.35284892838473586,0.5,0.00084702116319976
2026,P1,c2st_xgb,source_only,emq,replace,0.05,0.005378663249810415,-0.003744090144650408,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,emq,replace,0.1,0.005163060393976957,-0.0020033256685682214,0.35284892838473586,0.56,0.00103599531711732
2026,P1,c2st_xgb,source_only,hdy,replace,0.05,0.004696197293899303,0.0017083793227650728,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,hdy,replace,0.1,0.005171275147063931,0.0013780821162304605,0.35284892838473586,0.41,0.00084702116319976
2026,P1,c2st_xgb,source_only,kdey,replace,0.05,0.0056307978594422855,0.0037218982833296904,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,kdey,replace,0.1,0.006027997706722016,0.0042735016991300966,0.35284892838473586,0.21,0.0006013323462440801
2026,P1,c2st_xgb,source_only,median_sweep,replace,0.05,0.007834195232057141,0.004679008561685638,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,median_sweep,replace,0.1,0.006667152120006502,0.003949694137795174,0.35284892838473586,0.29,0.00079030650016164
2026,P1,c2st_xgb,source_only,pacc,replace,0.05,0.009803422520055106,0.007106390207216087,0.5351107773188134,0.0,0.00015904764199822
2026,P1,c2st_xgb,source_only,pacc,replace,0.1,0.008372971549713362,0.00625566997200897,0.35284892838473586,0.2,0.0006013323462440801
