protocol,detector,calibration_policy,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,oracle_target,source_validation_auroc,5,0.7062598962952442,0.0031889636379280307,0.702300274954448,0.7102195176360404
P1,c2st_lr,oracle_target,target_test_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,oracle_target,ranking_shift,5,-0.0037007167465767403,0.0072175766730754485,-0.012662521855809822,0.005261088362656342
P1,c2st_lr,oracle_target,source_validation_ece,5,0.01963320278244764,0.004832992721399444,0.013632249716705116,0.025634155848190163
P1,c2st_lr,oracle_target,target_test_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_lr,oracle_target,calibration_shift,5,-0.0031799037848599483,0.0067601264653022,-0.01157370944013016,0.005213901870410262
P1,c2st_lr,oracle_target,reference_fpr,5,0.04965314273701912,0.0003760467483708142,0.049186219027925485,0.05012006644611275
P1,c2st_lr,oracle_target,target_test_fpr,5,0.05107187894073136,0.004176431683320248,0.045886154078595066,0.05625760380286766
P1,c2st_lr,oracle_target,threshold_fpr_shift,5,0.0014187362037122598,0.004348499020030924,-0.003980638475684488,0.006818110883109008
P1,c2st_lr,oracle_target,prevalence_mae,5,0.024397769940746914,0.0018683943983888798,0.02207785188182186,0.026717687999671967
P1,c2st_lr,oracle_target,prevalence_decision_error_rate,5,0.08938461538461537,0.011165776113330313,0.07552047317268956,0.10324875759654117
P1,c2st_lr,oracle_target,governance_regret,5,0.0006440896071221348,0.00018228665209707562,0.00041775083386010135,0.0008704283803841683
P1,c2st_lr,source_only,source_validation_auroc,5,0.7062598962952442,0.0031889636379280307,0.702300274954448,0.7102195176360404
P1,c2st_lr,source_only,target_test_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,source_only,ranking_shift,5,-0.0037007167465767403,0.0072175766730754485,-0.012662521855809822,0.005261088362656342
P1,c2st_lr,source_only,source_validation_ece,5,0.01963320278244764,0.004832992721399444,0.013632249716705116,0.025634155848190163
P1,c2st_lr,source_only,target_test_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_lr,source_only,calibration_shift,5,-0.0031799037848599483,0.0067601264653022,-0.01157370944013016,0.005213901870410262
P1,c2st_lr,source_only,reference_fpr,5,0.04965314273701912,0.0003760467483708142,0.049186219027925485,0.05012006644611275
P1,c2st_lr,source_only,target_test_fpr,5,0.05107187894073136,0.004176431683320248,0.045886154078595066,0.05625760380286766
P1,c2st_lr,source_only,threshold_fpr_shift,5,0.0014187362037122598,0.004348499020030924,-0.003980638475684488,0.006818110883109008
P1,c2st_lr,source_only,prevalence_mae,5,0.024397769940746914,0.0018683943983888798,0.02207785188182186,0.026717687999671967
P1,c2st_lr,source_only,prevalence_decision_error_rate,5,0.08938461538461537,0.011165776113330313,0.07552047317268956,0.10324875759654117
P1,c2st_lr,source_only,governance_regret,5,0.0006440896071221348,0.00018228665209707562,0.00041775083386010135,0.0008704283803841683
P1,c2st_lr,target_real_anchor,source_validation_auroc,5,0.7062598962952442,0.0031889636379280307,0.702300274954448,0.7102195176360404
P1,c2st_lr,target_real_anchor,target_test_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,target_real_anchor,ranking_shift,5,-0.0037007167465767403,0.0072175766730754485,-0.012662521855809822,0.005261088362656342
P1,c2st_lr,target_real_anchor,source_validation_ece,5,0.01963320278244764,0.004832992721399444,0.013632249716705116,0.025634155848190163
P1,c2st_lr,target_real_anchor,target_test_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_lr,target_real_anchor,calibration_shift,5,-0.0031799037848599483,0.0067601264653022,-0.01157370944013016,0.005213901870410262
P1,c2st_lr,target_real_anchor,reference_fpr,5,0.05,0.0,0.05,0.05
P1,c2st_lr,target_real_anchor,target_test_fpr,5,0.052206809583858725,0.009064984280618247,0.040951144958332,0.06346247420938544
P1,c2st_lr,target_real_anchor,threshold_fpr_shift,5,0.0022068095838587605,0.009064984280618199,-0.009048855041667903,0.013462474209385424
P1,c2st_lr,target_real_anchor,prevalence_mae,5,0.024397769940746914,0.0018683943983888798,0.02207785188182186,0.026717687999671967
P1,c2st_lr,target_real_anchor,prevalence_decision_error_rate,5,0.08938461538461537,0.011165776113330313,0.07552047317268956,0.10324875759654117
P1,c2st_lr,target_real_anchor,governance_regret,5,0.0006514714942604733,0.00022424193213275412,0.0003730383602435807,0.000929904628277366
P1,c2st_xgb,oracle_target,source_validation_auroc,5,0.9400864791092193,0.0026785643726823394,0.9367606021607884,0.9434123560576502
P1,c2st_xgb,oracle_target,target_test_auroc,5,0.938834630809622,0.0021382941163372734,0.9361795879877951,0.941489673631449
P1,c2st_xgb,oracle_target,ranking_shift,5,-0.0012518482995972802,0.00349596504572917,-0.005592662235857967,0.003088965636663407
P1,c2st_xgb,oracle_target,source_validation_ece,5,0.01786577255692392,0.0031043112606913446,0.014011261025304936,0.0217202840885429
P1,c2st_xgb,oracle_target,target_test_ece,5,0.01995472790428298,0.002586660298375707,0.016742964936206858,0.023166490872359103
P1,c2st_xgb,oracle_target,calibration_shift,5,0.00208895534735902,0.0035508421605398963,-0.00231999752668744,0.00649790822140548
P1,c2st_xgb,oracle_target,reference_fpr,5,0.049737229346226576,0.00011514033161770134,0.04959426374171563,0.04988019495073752
P1,c2st_xgb,oracle_target,target_test_fpr,5,0.047919293820933115,0.0028460703160888487,0.044385430773089186,0.05145315686877704
P1,c2st_xgb,oracle_target,threshold_fpr_shift,5,-0.00181793552529342,0.0028600080573885347,-0.005369104564725448,0.0017332335141386082
P1,c2st_xgb,oracle_target,prevalence_mae,5,0.007632012070511481,0.0007194354066416741,0.006738715027051429,0.008525309113971534
P1,c2st_xgb,oracle_target,prevalence_decision_error_rate,5,0.07892307692307692,0.004666384888647103,0.07312899480508173,0.0847171590410721
P1,c2st_xgb,oracle_target,governance_regret,5,0.0034269479117098657,0.0009346951974177774,0.0022663705357822517,0.00458752528763748
P1,c2st_xgb,source_only,source_validation_auroc,5,0.9400864791092193,0.0026785643726823394,0.9367606021607884,0.9434123560576502
