seed,protocol,detector,calibration_policy,quantifier,contamination_mode,prevalence_absolute_error,prevalence_error,decision_regret
2026,P1,c2st_lr,oracle_target,acc,append,0.03420370725340503,0.0017997763272566865,0.0007308084099849366
2026,P1,c2st_lr,oracle_target,acc,replace,0.042783445378151236,-0.0030152531781943884,0.0011093945309419075
2026,P1,c2st_lr,oracle_target,cc,append,0.20669368480045983,-0.18689869904547407,0.0003955642258999233
2026,P1,c2st_lr,oracle_target,cc,replace,0.2937428571428571,-0.27639142857142857,0.0008319057928135447
2026,P1,c2st_lr,oracle_target,dys,append,0.02748720308200055,0.004725417868338048,0.0007371785351812534
2026,P1,c2st_lr,oracle_target,dys,replace,0.03474318773635803,-0.0022111319387431204,0.0009735643540496428
2026,P1,c2st_lr,oracle_target,emq,append,0.021308332593897524,-8.560651514157619e-05,0.0006235250404764
2026,P1,c2st_lr,oracle_target,emq,replace,0.024563506153957766,-0.0029620900194893586,0.0010035709261934818
2026,P1,c2st_lr,oracle_target,hdy,append,0.022183736119431644,-0.0032634490747545726,0.0006323797013064533
2026,P1,c2st_lr,oracle_target,hdy,replace,0.02701398622580202,-0.007578690454518418,0.0010035709261934818
2026,P1,c2st_lr,oracle_target,kdey,append,0.022313439915359733,-0.009280611456983225,0.0006235250404764
2026,P1,c2st_lr,oracle_target,kdey,replace,0.026239353893719515,-0.011980938117266592,0.0010035709261934818
2026,P1,c2st_lr,oracle_target,median_sweep,append,0.024812621152057346,-0.00841185100979502,0.0006553756664579567
2026,P1,c2st_lr,oracle_target,median_sweep,replace,0.03267775465249706,-0.013817109252296367,0.00100325068529546
2026,P1,c2st_lr,oracle_target,pacc,append,0.02166713803183424,-0.004822179208071197,0.0006235250404764
2026,P1,c2st_lr,oracle_target,pacc,replace,0.0272038644239825,-0.008815247838802233,0.00100325068529546
2026,P1,c2st_lr,oracle_target,pcc,append,0.2702672609665153,0.19628167634844657,0.0009093587226721467
