seed,protocol,detector,calibration_policy,contamination_mode,true_prevalence,contaminated_utility_delta,detector_cleanup_delta,oracle_cleanup_delta,decision_regret
2026,P1,c2st_lr,oracle_target,append,0.0,1.3225949088019936e-05,-0.0007934448609621999,1.3225949088019936e-05,0.0
2026,P1,c2st_lr,oracle_target,append,0.050332383665717,-4.8196255150997465e-06,-0.0002758394975036716,0.00019760464611897995,0.00030330015450822
2026,P1,c2st_lr,oracle_target,append,0.0999099909990999,0.0021619943386213003,0.00123438455343664,0.0013623848403723719,0.00029029837404888
2026,P1,c2st_lr,oracle_target,append,0.2498124531132783,-0.0014377054995850201,-0.00251517201299502,-0.00233606127873626,0.0011535717628227801
2026,P1,c2st_lr,oracle_target,append,0.5,0.00143008376621228,0.0012290045063499,0.00091763428121174,0.0005712937500104199
2026,P1,c2st_lr,oracle_target,append,0.75,0.00296597512512804,0.0015432889236598802,0.0006700400309128799,0.0014226862014680998
2026,P1,c2st_lr,oracle_target,replace,0.0,1.3225949088019936e-05,-0.0007934448609621999,1.3225949088019936e-05,0.0
2026,P1,c2st_lr,oracle_target,replace,0.05,0.00013920871836632003,-0.0008800860359196401,3.384946291999898e-05,0.0
2026,P1,c2st_lr,oracle_target,replace,0.1,0.00046582241024993994,-8.921911418635995e-05,0.0016783505223969797,0.00020780431872072003
2026,P1,c2st_lr,oracle_target,replace,0.25,-0.0040113855246470195,-0.00521304145830654,-0.00535370727275882,0.00181610214467724
2026,P1,c2st_lr,oracle_target,replace,0.5,-0.004276577012291642,-0.00466909628098632,-0.0054329508829721,0.0005357630223759399
2026,P1,c2st_lr,oracle_target,replace,0.75,-0.00435626895976238,-0.0057613579238846805,-0.013026775261422699,0.00225861101755176
2026,P1,c2st_lr,oracle_target,replace,1.0,-0.00977969267601864,-0.01129496052110228,,0.00220447429374256
2026,P1,c2st_lr,source_only,append,0.0,1.3225949088019936e-05,-0.0007934448609621999,1.3225949088019936e-05,0.0
2026,P1,c2st_lr,source_only,append,0.050332383665717,-4.8196255150997465e-06,-0.0002758394975036716,0.00019760464611897995,0.00030330015450822
2026,P1,c2st_lr,source_only,append,0.0999099909990999,0.0021619943386213003,0.00123438455343664,0.0013623848403723719,0.00029029837404888
2026,P1,c2st_lr,source_only,append,0.2498124531132783,-0.0014377054995850201,-0.00251517201299502,-0.00233606127873626,0.0011535717628227801
2026,P1,c2st_lr,source_only,append,0.5,0.00143008376621228,0.0012290045063499,0.00091763428121174,0.0005712937500104199
2026,P1,c2st_lr,source_only,append,0.75,0.00296597512512804,0.0015432889236598802,0.0006700400309128799,0.0014226862014680998
2026,P1,c2st_lr,source_only,replace,0.0,1.3225949088019936e-05,-0.0007934448609621999,1.3225949088019936e-05,0.0
2026,P1,c2st_lr,source_only,replace,0.05,0.00013920871836632003,-0.0008800860359196401,3.384946291999898e-05,0.0
2026,P1,c2st_lr,source_only,replace,0.1,0.00046582241024993994,-8.921911418635995e-05,0.0016783505223969797,0.00020780431872072003
2026,P1,c2st_lr,source_only,replace,0.25,-0.0040113855246470195,-0.00521304145830654,-0.00535370727275882,0.00181610214467724
2026,P1,c2st_lr,source_only,replace,0.5,-0.004276577012291642,-0.00466909628098632,-0.0054329508829721,0.0005357630223759399
2026,P1,c2st_lr,source_only,replace,0.75,-0.00435626895976238,-0.0057613579238846805,-0.013026775261422699,0.00225861101755176
2026,P1,c2st_lr,source_only,replace,1.0,-0.00977969267601864,-0.01129496052110228,,0.00220447429374256
2026,P1,c2st_lr,target_real_anchor,append,0.0,1.3225949088019936e-05,-0.0006880856055159399,1.3225949088019936e-05,9.000370438656e-05
2026,P1,c2st_lr,target_real_anchor,append,0.050332383665717,-4.8196255150997465e-06,-0.0008379423337411603,0.00019760464611897995,0.0001130930731333
2026,P1,c2st_lr,target_real_anchor,append,0.0999099909990999,0.0021619943386213003,0.00130869645382048,0.0013623848403723719,0.00020074300691950002
