protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,adult,CTGAN,append,0.0,data_oob,real_mean_value,5,0.8121813712553033,0.01242783860902988,0.7967501714789842,0.8276125710316224
P1,adult,CTGAN,append,0.0,data_oob,synthetic_mean_value,0,,,,
P1,adult,CTGAN,append,0.0,data_oob,synthetic_negative_value_rate,0,,,,
P1,adult,CTGAN,append,0.0,data_oob,source_task_value_gap,0,,,,
P1,adult,CTGAN,append,0.0,knn_shapley,real_mean_value,5,0.0007685599999999648,1.0456003060442964e-05,0.0007555771574347044,0.0007815428425652253
P1,adult,CTGAN,append,0.0,knn_shapley,synthetic_mean_value,0,,,,
P1,adult,CTGAN,append,0.0,knn_shapley,synthetic_negative_value_rate,0,,,,
P1,adult,CTGAN,append,0.0,knn_shapley,source_task_value_gap,0,,,,
P1,adult,CTGAN,append,0.050332383665717,data_oob,real_mean_value,5,0.8227520582699647,0.021172461258720018,0.7964629753716481,0.8490411411682812
P1,adult,CTGAN,append,0.050332383665717,data_oob,synthetic_mean_value,5,0.8499486120442237,0.04134762780427976,0.7986087511885206,0.9012884728999268
P1,adult,CTGAN,append,0.050332383665717,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,append,0.050332383665717,data_oob,source_task_value_gap,5,-0.027196553774258912,0.028157172202438102,-0.062158300789250095,0.007765193240732271
P1,adult,CTGAN,append,0.050332383665717,knn_shapley,real_mean_value,5,0.0007745719383378303,1.1074974183206364e-05,0.0007608205416135068,0.0007883233350621539
P1,adult,CTGAN,append,0.050332383665717,knn_shapley,synthetic_mean_value,5,0.0007770769441092243,6.45020782214588e-05,0.0006969870357723158,0.0008571668524461328
P1,adult,CTGAN,append,0.050332383665717,knn_shapley,synthetic_negative_value_rate,5,0.12267948717948718,0.01898693709916443,0.0991040909472953,0.14625488341167905
P1,adult,CTGAN,append,0.050332383665717,knn_shapley,source_task_value_gap,5,-2.50500577139393e-06,6.0242318786104634e-05,-7.730572417641433e-05,7.229571263362646e-05
P1,adult,CTGAN,append,0.0999099909990999,data_oob,real_mean_value,5,0.8060869050550986,0.012908946815516444,0.7900583305395447,0.8221154795706526
P1,adult,CTGAN,append,0.0999099909990999,data_oob,synthetic_mean_value,5,0.8373941920655346,0.03238069077451368,0.7971882540938522,0.8776001300372169
P1,adult,CTGAN,append,0.0999099909990999,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,append,0.0999099909990999,data_oob,source_task_value_gap,5,-0.03130728701043606,0.038009847230124724,-0.078502745893307,0.015888171872434874
P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,real_mean_value,5,0.000751831852964253,1.6102247258436954e-05,0.0007318382722532766,0.0007718254336752295
P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,synthetic_mean_value,5,0.0008367797481887622,5.0352940404187676e-05,0.0007742583148851827,0.0008993011814923417
P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,synthetic_negative_value_rate,5,0.08585799343691485,0.02200690370261514,0.058532813397440514,0.11318317347638918
P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,source_task_value_gap,5,-8.494789522450906e-05,5.0568098314217506e-05,-0.0001477364823589014,-2.2159308090116735e-05
P1,adult,CTGAN,append,0.2498124531132783,data_oob,real_mean_value,5,0.8147058562926179,0.015406445000519015,0.7955762281951672,0.8338354843900687
P1,adult,CTGAN,append,0.2498124531132783,data_oob,synthetic_mean_value,5,0.8127129580915724,0.011208673450008831,0.7987955518010741,0.8266303643820707
P1,adult,CTGAN,append,0.2498124531132783,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,append,0.2498124531132783,data_oob,source_task_value_gap,5,0.001992898201045512,0.02183400977613433,-0.02511760567440951,0.029103402076500536
P1,adult,CTGAN,append,0.2498124531132783,knn_shapley,real_mean_value,5,0.0007882753651597381,2.8992390794982725e-05,0.0007522765572877539,0.0008242741730317224
P1,adult,CTGAN,append,0.2498124531132783,knn_shapley,synthetic_mean_value,5,0.0007616760321734152,7.073378978517284e-05,0.0006738484319406528,0.0008495036324061775
P1,adult,CTGAN,append,0.2498124531132783,knn_shapley,synthetic_negative_value_rate,5,0.12373141275048857,0.030175528586426362,0.08626354527795443,0.1611992802230227
