seed,protocol,detector,calibration_policy,source_validation_auroc,target_test_auroc,ranking_shift,source_validation_ece,target_test_ece,calibration_shift,reference_fpr,target_test_fpr,threshold_fpr_shift,prevalence_mae,prevalence_decision_error_rate,governance_regret
2026,P1,c2st_lr,oracle_target,0.7048013374313697,0.7099657469440199,0.0051644095126501,0.023966995538952,0.0191392885356507,-0.0048277070033013,0.0498213159554341,0.046343001261034,-0.0034783146944,0.024648452242990997,0.08153846153846153,0.0008279926953789708
2026,P1,c2st_lr,source_only,0.7048013374313697,0.7099657469440199,0.0051644095126501,0.023966995538952,0.0191392885356507,-0.0048277070033013,0.0498213159554341,0.046343001261034,-0.0034783146944,0.024648452242990997,0.08153846153846153,0.0008279926953789708
2026,P1,c2st_lr,target_real_anchor,0.7048013374313697,0.7099657469440199,0.0051644095126501,0.023966995538952,0.0191392885356507,-0.0048277070033013,0.05,0.0636822194199243,0.0136822194199243,0.024648452242990997,0.08153846153846153,0.0009673048761892488
2026,P1,c2st_xgb,oracle_target,0.9433293241797304,0.9396710299292836,-0.0036582942504467,0.015366718951875,0.0191489138503084,0.0037821948984334,0.0498213159554341,0.0472887767969735,-0.0025325391584605,0.007901963825891168,0.07384615384615385,0.004413914784796126
2026,P1,c2st_xgb,source_only,0.9433293241797304,0.9396710299292836,-0.0036582942504467,0.015366718951875,0.0191489138503084,0.0037821948984334,0.0498213159554341,0.0472887767969735,-0.0025325391584605,0.007901963825891168,0.07384615384615385,0.004413914784796126
2026,P1,c2st_xgb,target_real_anchor,0.9433293241797304,0.9396710299292836,-0.0036582942504467,0.015366718951875,0.0191489138503084,0.0037821948984334,0.05,0.0643127364438839,0.0143127364438839,0.007901963825891168,0.07384615384615385,0.005361389359223843
2026,P1,char3gram,oracle_target,0.9014811448771,0.8995373889439277,-0.0019437559331724,0.0199992127385803,0.02228442191812,0.0022852091795397,0.0498213159554341,0.0539092055485498,0.0040878895931157,0.010138603110162861,0.08076923076923077,0.0027271148294746635
2026,P1,char3gram,source_only,0.9014811448771,0.8995373889439277,-0.0019437559331724,0.0199992127385803,0.02228442191812,0.0022852091795397,0.0498213159554341,0.0539092055485498,0.0040878895931157,0.010138603110162861,0.08076923076923077,0.0027271148294746635
2026,P1,char3gram,target_real_anchor,0.9014811448771,0.8995373889439277,-0.0019437559331724,0.0199992127385803,0.02228442191812,0.0022852091795397,0.05,0.0548549810844892,0.0048549810844892,0.010138603110162861,0.08076923076923077,0.002651682085947671
2026,P1,column_positional_ablation,oracle_target,0.9177466980605328,0.9182825984457316,0.0005359003851989,0.0206408610579863,0.020869030947755,0.0002281698897687,0.0498213159554341,0.0498108448928121,-1.0471062621988936e-05,0.008511549502324838,0.08076923076923077,0.002464768559039272
2026,P1,column_positional_ablation,source_only,0.9177466980605328,0.9182825984457316,0.0005359003851989,0.0206408610579863,0.020869030947755,0.0002281698897687,0.0498213159554341,0.0498108448928121,-1.0471062621988936e-05,0.008511549502324838,0.08076923076923077,0.002464768559039272
2026,P1,column_positional_ablation,target_real_anchor,0.9177466980605328,0.9182825984457316,0.0005359003851989,0.0206408610579863,0.020869030947755,0.0002281698897687,0.05,0.0494955863808322,-0.0005044136191677,0.008511549502324838,0.08076923076923077,0.0024784428453844326
2026,P1,datum_transformer,oracle_target,0.8487184326659065,0.838726536497633,-0.0099918961682735,0.0054555277320191,0.0042650809823819,-0.0011904467496372,0.0498213159554341,0.0535939470365699,0.0037726310811358,0.009174894096460919,0.07846153846153846,0.002883041354413033
2026,P1,datum_transformer,source_only,0.8487184326659065,0.838726536497633,-0.0099918961682735,0.0054555277320191,0.0042650809823819,-0.0011904467496372,0.0498213159554341,0.0535939470365699,0.0037726310811358,0.009174894096460919,0.07846153846153846,0.002883041354413033
2026,P1,datum_transformer,target_real_anchor,0.8487184326659065,0.838726536497633,-0.0099918961682735,0.0054555277320191,0.0042650809823819,-0.0011904467496372,0.05,0.0532786885245901,0.0032786885245901,0.009174894096460919,0.07846153846153846,0.002875807605205221
2026,P1,flat_transformer,oracle_target,0.9116307759994684,0.907479378992413,-0.0041513970070554,0.0293561751497281,0.0247246997688821,-0.004631475380846,0.0498213159554341,0.051702395964691,0.0018810800092569,0.010487066517531734,0.07615384615384616,0.0027624817415729365
2026,P1,flat_transformer,source_only,0.9116307759994684,0.907479378992413,-0.0041513970070554,0.0293561751497281,0.0247246997688821,-0.004631475380846,0.0498213159554341,0.051702395964691,0.0018810800092569,0.010487066517531734,0.07615384615384616,0.0027624817415729365
2026,P1,flat_transformer,target_real_anchor,0.9116307759994684,0.907479378992413,-0.0041513970070554,0.0293561751497281,0.0247246997688821,-0.004631475380846,0.05,0.0469735182849936,-0.0030264817150063,0.010487066517531734,0.07615384615384616,0.0027735867105594045
2026,P2,c2st_lr,oracle_target,0.2951986625686302,0.6231554594187156,0.3279567968500854,0.2639525918301175,0.0117721310914088,-0.2521804607387087,0.0498213159554341,0.0561160151324085,0.0062946991769744,0.044205935146945846,0.1453846153846154,0.000442914100780055
2026,P2,c2st_lr,source_only,0.7048013374313697,0.3768445405812842,-0.3279567968500855,0.023966995538952,0.2262081414389155,0.2022411458999634,0.0498213159554341,0.046343001261034,-0.0034783146944,0.33189421333282343,0.6153846153846154,0.00011028234340537061
2026,P2,c2st_lr,target_real_anchor,0.7048013374313697,0.3768445405812842,-0.3279567968500855,0.023966995538952,0.2262081414389155,0.2022411458999634,0.05,0.0636822194199243,0.0136822194199243,0.33189421333282343,0.6153846153846154,0.0001250774728935723
2026,P2,c2st_xgb,oracle_target,0.9433293241797304,0.7402988932955289,-0.2030304308842013,0.1362769272235762,0.089393187571957,-0.0468837396516192,0.0487702333403405,0.0472887767969735,-0.001481456543367,0.015225864397970088,0.08461538461538462,0.0008918117795699406
2026,P2,c2st_xgb,source_only,0.9433293241797304,0.7402988932955289,-0.2030304308842013,0.015366718951875,0.1680716174212722,0.1527048984693972,0.0498213159554341,0.0472887767969735,-0.0025325391584605,0.12220033624551095,0.07692307692307693,0.0008819483599111497
2026,P2,c2st_xgb,target_real_anchor,0.9433293241797304,0.7402988932955289,-0.2030304308842013,0.015366718951875,0.1680716174212722,0.1527048984693972,0.05,0.0643127364438839,0.0143127364438839,0.12220033624551095,0.07692307692307693,0.0010226745274557365
2026,P2,char3gram,oracle_target,0.9014811448771,0.7248288142304433,-0.1766523306466567,0.1362595490764003,0.0663816325259996,-0.0698779165504007,0.0498213159554341,0.0539092055485498,0.0040878895931157,0.019847970695061792,0.09076923076923077,0.0007953934036570166
2026,P2,char3gram,source_only,0.9014811448771,0.7248288142304433,-0.1766523306466567,0.0199992127385803,0.1325556785108386,0.1125564657722582,0.0498213159554341,0.0539092055485498,0.0040878895931157,0.13791440766630172,0.07769230769230769,0.0007511632088583612
2026,P2,char3gram,target_real_anchor,0.9014811448771,0.7248288142304433,-0.1766523306466567,0.0199992127385803,0.1325556785108386,0.1125564657722582,0.05,0.0548549810844892,0.0048549810844892,0.13791440766630172,0.07769230769230769,0.000706096692637577
2026,P2,column_positional_ablation,oracle_target,0.9266680849027285,0.790737472350278,-0.1359306125524503,0.1174308257718034,0.066028476434248,-0.0514023493375553,0.0496110994324153,0.0526481715006305,0.0030370720682151,0.013192902394322597,0.0823076923076923,0.0017604910810415401
2026,P2,column_positional_ablation,source_only,0.9266680849027285,0.790737472350278,-0.1359306125524503,0.0359153238180571,0.1367404252253059,0.1008251014072488,0.0496110994324153,0.0526481715006305,0.0030370720682151,0.10498496181379892,0.07769230769230769,0.001728650513908711
2026,P2,column_positional_ablation,target_real_anchor,0.9266680849027285,0.790737472350278,-0.1359306125524503,0.0359153238180571,0.1367404252253059,0.1008251014072488,0.05,0.0586380832282471,0.0086380832282471,0.10498496181379892,0.07769230769230769,0.0020079042720634295
2026,P2,datum_transformer,oracle_target,0.8492851378774247,0.7289168385415259,-0.1203682993358987,0.0529792996767619,0.0036109029381988,-0.049368396738563,0.0460374185410973,0.0419293820933165,-0.0041080364477808,0.011895242611967744,0.07692307692307693,0.0019066576487650668
2026,P2,datum_transformer,source_only,0.8492851378774247,0.7289168385415259,-0.1203682993358987,0.0053433521621149,0.053126867329037,0.047783515166922,0.0485600168173218,0.0447667087011349,-0.0037933081161869,0.07302784917985687,0.07538461538461538,0.0018364411367884006
2026,P2,datum_transformer,target_real_anchor,0.8492851378774247,0.7289168385415259,-0.1203682993358987,0.0053433521621149,0.053126867329037,0.047783515166922,0.05,0.0425598991172761,-0.0074401008827238,0.07302784917985687,0.07538461538461538,0.0018365877085840293
2026,P2,flat_transformer,oracle_target,0.9090716096818738,0.7145833598367812,-0.1944882498450926,0.1440671601535178,0.0868659668459634,-0.0572011933075543,0.0494008829093966,0.0589533417402269,0.0095524588308303,0.019011090113800314,0.08153846153846153,0.0010791908874762325
2026,P2,flat_transformer,source_only,0.9090716096818738,0.7145833598367812,-0.1944882498450926,0.0444977343840746,0.1677045811015486,0.1232068467174739,0.0498213159554341,0.0592686002522068,0.0094472842967727,0.12746249989559177,0.07615384615384616,0.0010490315850579693
2026,P2,flat_transformer,target_real_anchor,0.9090716096818738,0.7145833598367812,-0.1944882498450926,0.0444977343840746,0.1677045811015486,0.1232068467174739,0.05,0.0586380832282471,0.0086380832282471,0.12746249989559177,0.07615384615384616,0.0010472468578994326
2026,P3,char3gram,oracle_target,0.9006605447155767,0.6215704834948919,-0.2790900612206848,0.3808122079918312,0.0321031627489158,-0.3487090452429153,0.0499657768651608,0.0528747433264887,0.0029089664613278,0.05089349988347361,0.1853846153846154,0.0006078997292076599
2026,P3,char3gram,source_only,0.9006605447155767,0.6215704834948919,-0.2790900612206848,0.0215902650897393,0.4695114015240595,0.4479211364343202,0.0499515972894482,1.0,0.9500484027105518,0.6692265517093773,0.38461538461538464,
2026,P3,char3gram,target_real_anchor,0.9006605447155767,0.6215704834948919,-0.2790900612206848,0.0215902650897393,0.4695114015240595,0.4479211364343202,0.05,0.0523613963039014,0.0023613963039014,0.6692265517093773,0.38461538461538464,0.00031984432172818615
2026,P3,column_positional_ablation,source_only,0.9354999442408272,0.6087622381086905,-0.3267377061321367,0.0346773550157406,0.4684711710949637,0.433793816079223,0.0489835430784123,1.0,0.9510164569215876,0.6692265517093773,0.38461538461538464,
2026,P3,column_positional_ablation,target_real_anchor,0.9354999442408272,0.6087622381086905,-0.3267377061321367,0.0346773550157406,0.4684711710949637,0.433793816079223,0.05,0.0251540041067761,-0.0248459958932238,0.6692265517093773,0.38461538461538464,0.0008968062147097246
2026,P3,datum_ta,oracle_target,0.8319348620405609,0.6386230651982341,-0.1933117968423268,0.0907124508684917,0.0431383790491797,-0.0475740718193119,0.0496235455167693,0.0595482546201232,0.0099247091033538,0.03871121293473333,0.10153846153846154,0.0010861365715701793
2026,P3,datum_ta,source_only,0.8319348620405609,0.6386230651982341,-0.1933117968423268,0.0085320598179102,0.1015779371945507,0.0930458773766405,0.049757986447241,0.034394250513347,-0.015363735933894,0.22934218045969,0.38461538461538464,0.00044725300191893224
2026,P3,datum_ta,target_real_anchor,0.8319348620405609,0.6386230651982341,-0.1933117968423268,0.0085320598179102,0.1015779371945507,0.0930458773766405,0.05,0.0513347022587269,0.0013347022587268,0.22934218045969,0.38461538461538464,0.0003978214702832677
2026,P3,datum_transformer,oracle_target,0.9352364048359604,0.5473633780131467,-0.3878730268228135,0.2737207078019276,0.0656022666734011,-0.2081184411285264,0.0482546201232032,0.0605749486652977,0.0123203285420944,0.04968778925224106,0.13615384615384615,0.0005592272671596915
2026,P3,datum_transformer,source_only,0.9352364048359604,0.5473633780131467,-0.3878730268228135,0.0328098873222163,0.4678862562626893,0.435076368940473,0.049757986447241,1.0,0.950242013552759,0.6692265517093773,0.38461538461538464,
2026,P3,datum_transformer,target_real_anchor,0.9352364048359604,0.5473633780131467,-0.3878730268228135,0.0328098873222163,0.4678862562626893,0.435076368940473,0.05,0.0826488706365503,0.0326488706365503,0.6692265517093773,0.38461538461538464,0.0009617411676215256
