algorithm_id,test_table,fold,run_id,auroc,auprc,balanced_accuracy,f1,tpr_at_fpr_005,brier,ece,reload_max_delta,parameter_count,truncation_rate,column_permutation_max_delta
D-DW,abalone,0,runthrough-d-dw-20260715T025244913596,0.28171874999999996,0.37648839822578584,0.5,0.0,0.0,0.252738005351293,0.036797722801566124,0.0,6265,0.0,5.960464477539063e-08
D-DWTA,abalone,0,runthrough-d-dwta-20260715T025251199918,0.30078125,0.39531463088914875,0.5,0.0,0.0125,0.2539614165409111,0.05327109061181545,0.0,6265,0.0,5.960464477539063e-08
