algorithm_id,mae,rmse,bias,max_absolute_error,out_of_range_rate
Q-ACC,0.0019139023397852955,0.002735212312731577,0.00018341550782428553,0.007117946104009412,0.23809523809523808
Q-CC,0.008952380952380958,0.011028102630055986,-0.004190476190476198,0.02300000000000002,0.0
Q-DyS,0.0024543992484323492,0.003876220815919893,-0.0006860935199350514,0.009087287862550697,0.0
Q-EMQ,0.002875180503547731,0.0042579776853017845,0.0011117459501223219,0.00986207611945411,0.0
Q-HDy,0.0016984767732463437,0.002546523680770759,-0.0009812530231372199,0.006819527458202912,0.0
Q-MS,0.0011204438262559146,0.0017871966078863248,-0.000351301038981677,0.005049663423881606,0.2857142857142857
Q-PACC,0.0016696220654100562,0.002495237926414889,-0.0003185197800290066,0.005704903680036011,0.2857142857142857
Q-PCC,0.02001797513847814,0.021889191394349965,0.002903643929089075,0.034731111168861406,0.0
