record_id,source_type,value
mix:ebc6b0191d70ddde4f896310,real,-0.0071541701592155
mix:3738db300799024d43afd98e,real,0.0028978247030495
mix:51ff6f24df778fa540589b40,real,0.0022371532965066
mix:80b181983a5dc760220b10d4,synthetic,0.0009600861596466
mix:c4f8f8e2a65a4b6f68b41ae2,real,0.0012301255094702
mix:1cfccc33f1655d5e1acffdbc,real,0.0022199409160226
mix:d4c5caee6a69b6b039e95159,real,0.0017078541152767
mix:beaa6fd2a77c2648f3aa6a89,real,0.0016176168217805
mix:b5ddc6468ab1103d16503bbd,real,4.0662663024029694e-06
mix:a42aee105b5aa7129bc70d7c,real,-0.0027467185005903
mix:2e974ba105c91b866e89bba5,real,0.0011769673995674
mix:b785008713e93d62a9493597,synthetic,0.0009954248830313
mix:a32c798923a9487da2ba680a,synthetic,0.0010208623375715
mix:8a52962163620a430843c1e6,synthetic,0.0013880584235751
mix:cc7944d66e86f2620f119951,real,0.0018445092264394
mix:030c83901cb91582d09d3348,real,-0.0013507350155858
mix:b74074a957807448a4e72607,real,-0.0015747242931945
mix:a509ff88016a5d3efcd79ed7,real,8.454484429756498e-05
mix:d4bf7b0c39d28d66d033c002,real,0.0007154772044229
mix:54db3ba38e8ff957d32097ef,real,-0.0066707249887432
mix:ddea583f73c4d53cfe2ff60f,real,0.0016324576919331
mix:e5e40018df58a867e6022bac,real,-0.0041348220458291
mix:affd8114d8bc5f8d766be910,real,0.0019839639294517
mix:ee303fa1b2f206415a0c8bcc,real,0.0017734812934191
mix:b0c9d320319de7de0d572b82,real,0.0013542308117584
mix:12427dfcb26196fa509fdf3f,real,0.0014703663564906
mix:2b312806916ce084b7c57d49,real,0.0020470995301172
mix:a3b46696b5dd82c0558e9ff1,real,0.0030179449716341
mix:0e588cad7346bf40022a7f57,synthetic,0.0010112119955004
mix:ad1c76a66433c80310277f8c,synthetic,0.0010085062896324
mix:bb3255120ce011b389ef5d3e,synthetic,0.0014949637845281
mix:5411857420f49a5c03ba79e8,real,0.0013126693607416
mix:fcafa315961eec014546e76c,real,0.002876478970893
mix:655bab9a3697c8f1e529b606,real,0.0016080583097007
mix:815acc49a39ba3c1f996cccf,real,0.0016685499229248
mix:a2a2832e2ee80f51cbab9277,real,0.0002342083665052
mix:f1f7ce3f7ec21bbb40695882,synthetic,0.0012766881235101
mix:ca1adb9d73c0a0b1db9c9f05,synthetic,0.0009874054211279
mix:2138cd7a8782d485dc4dd75e,real,-0.001539866814726
mix:715785196759fd9c71615123,real,0.001464120931856
mix:fea91b6687dd48da9a490452,real,0.0025727878041605
mix:19fbc505ec71918da06f76e0,real,0.0015633420537482
mix:ea0474961bb97655748b6230,real,0.0013067577401185
mix:cfe36ba8134210992bd75d92,synthetic,0.0018838776975451
mix:e7c485918c7ae0a952851ecc,real,-0.0033020494120643
mix:8da9fbb9e09887f9cc9d8da8,real,0.0016078024517707
mix:258de35a7d30911f4ff0e95f,real,0.0021256417010496
mix:d819b7f60a706a60ead1e7ad,real,-0.0004593720708081
mix:df6f442d706855341244374e,real,0.0020830527994551
mix:f23c20eebae9ab7a79c32ec5,real,0.0012579224764448
mix:06bf1024d287a630669d772e,real,0.0001707255654497
mix:d5867b6f56aedbde8a6b7b75,synthetic,0.0009902922975792
mix:96cc98d7f2944b5f969c8882,real,0.0029035852653197
mix:d7068ee3cf96c6943011eecc,real,0.0014601331307023
mix:e1bfbd90b455f5f6db639be7,real,0.0019520457139769
mix:6a766d958403b89b08b57df0,synthetic,0.0009656205527419
mix:69582ac88f697b8b364c17ef,real,-0.0014957811208662
mix:61aeb44de4fd0eece2bc97ef,synthetic,0.0020973571757054
mix:ea1de994b2d9fa33e3fa9769,real,0.0018757940447311
mix:5343a76146c7fdc4e3235fe5,synthetic,0.0009699243632163
mix:f3133eca74cdb87480fa01b8,real,-0.0003623764450043
mix:122c58212edc5ceaf54f9195,real,0.0017939101623049
mix:a4d4c66544b5a74bd3a3da7f,synthetic,0.0016511925951515
mix:7c2b7314d88df40e726fae59,real,0.0014107921911661
mix:e13d53913c2d244e7a89b126,real,0.0015229424307605
mix:8fb4cc768b6d6e1dbd8f2a21,synthetic,0.0006101026102308
mix:b0abef37df3a1ce0027e6e6f,real,0.001668284889055
mix:0876d222594f9db7359f838f,real,0.00207898159327
mix:eb7e60a4dca4ae10e18bd00f,real,0.0025523382880992
mix:7e9eb9ff79e57ef6018cbeaf,real,0.0030917689471426
mix:8a84d739a136fa7a630bf077,real,0.0013635051451715
mix:d790e400bd4549e175e684bb,synthetic,0.0009853692031166
mix:2fb4132ff10fccda923d36fd,real,0.0029826564999897
mix:84113add23335abdeced5ab5,synthetic,0.0002448129096929
mix:e124082b576251d2f5f68ea7,synthetic,0.0002442204433422
mix:5b06d499e21626571f32b6cc,real,0.0012434018312927
mix:bf6394c4ede9272837225827,real,0.0012623089319792
mix:67b62e6ff86ad9477aa96bf6,real,0.00245397575394
mix:f84406521172ec5a2d0d7c89,synthetic,0.0013593949458879
mix:8d5a0e4582d5ef30ad65bf7b,synthetic,0.0002090196795816
mix:9493b8bfdd29f0fbed4f4e4a,real,0.0027763992036356
mix:e30a0558d531ee4975ff7b4f,synthetic,2.9647782133734107e-05
mix:6c6212d9821dc0c5c53757be,synthetic,0.0005130249890218
mix:940dc0654b8ecc53606de93b,real,0.0025814584680452
mix:c93e5c7bbe6ec06f6d692f62,real,0.002685918687455
mix:68b9595fcc75045b3d16a57f,real,0.0017680192865266
mix:793a55e429debf2b9f9cfb3f,synthetic,0.0010749844995372
mix:3b3b8631ad8aedcfa816beb7,real,0.0039266966204252
mix:f3192d0f918bc78cd6515e42,real,0.0022168271467549
mix:49931164e7903db5089d153f,synthetic,0.0010824172056396
mix:87d66f73d3b4c1ce226bd3c8,real,0.0016662020875065
mix:8fef4269573fda0d61cf042a,real,0.0016201820573434
mix:df975c802cb36a74921c7174,real,0.0018696061408164
mix:b7ef52273f6e248c144c2c04,real,0.0009799250676216
mix:ff247a067289b920a44b6617,real,0.0024352173749829
mix:2a3f1a3f9f5e2999378f2bf4,real,0.0017529528475076
mix:4bb321cfe22dc48401608e43,real,0.0020478755169207
mix:578bd310d287513351345b87,real,0.0024284238405846
mix:b4b9f40cfb0a849736edfc90,real,0.0031204630150709
mix:8e86a2c63ac6be44074831a1,real,0.001976465568726
mix:4e32d9d33ff50b85e3a33862,real,0.0042060862374953
mix:fdf5140cebdc3f1cca9eb59f,real,-0.0003653857382961
mix:5b0ad4fc502f5f52bf57dd49,real,0.0006879427519447
mix:2d51957827c2490f8cc3a89b,real,0.0020921484812443
mix:ad135be6b9e103710c6f1d7c,real,0.0016734993016282
mix:ae44cfa2e58f7df96363eec6,real,0.0020205050602283
mix:9440ef2e4784f32fe94a7a54,real,0.002589557443442
mix:0203f8982fb894312efc4686,real,0.0054632085614879
mix:f14b663ef17c18324cd7f1e9,real,0.0031359401296104
mix:5e70ad50c74d487e2bbf05b6,synthetic,0.0010640105840435
mix:7d3e90f5f4ea30fb8e7f7915,synthetic,-0.0027960821957415
mix:01e6e232a4b43a213db7d7cf,real,0.0013588379955462
mix:8f8a10abd7c26d5346baf049,real,0.0022560729141968
mix:dfffd5d4c9d23c2fdd5737e8,real,0.0014719628265628
mix:d6329ba61a447da8572ca90a,real,0.0028234054071933
mix:608b0f471399615829f27388,synthetic,-0.0014364575734591
mix:07b6930e846bc05f6b8fcb42,synthetic,0.0010309709155533
mix:dcc92407ad29283f581c20a9,real,-0.001310096916367
mix:dffa70a34205bee2e0028689,real,-0.0021395903814803
mix:b59dd918c8ed6fb16b99f4cb,real,0.0031888123951907
mix:e801eae3f859d0b608beaacc,real,0.0020022174435166
mix:fdb35d40a144932f658bb84b,real,0.0013417205600733
mix:4f8fe8dbfaf5b881552d83e9,real,0.0015245765516568
mix:0e23ab90a2d3efd97f323d83,real,-0.0023790551140837
mix:bbd9fbf84b5cb6a5ada598b7,real,0.0010558008844135
mix:c410df31b3f4e95c520bcb79,real,-0.0017939060624552
mix:b47ba7d42cd0bfa85a188f90,synthetic,0.0011478493288024
mix:460f65522f733c5c4a9366dd,synthetic,0.0018328314381167
mix:3d575c682405861d54ba21c3,synthetic,0.0010156610901894
mix:f4e5af909a8efa331a91c62f,synthetic,0.0019528770771182
mix:3a3c70e09396269c684bb495,real,0.0021393013932272
mix:9e3c79d2b30ec8ca455498d6,synthetic,0.0009956680870831
mix:9a0efb36282b4be073b7bea8,real,0.0014459837523052
mix:a78819e5c617925f9edbd0d8,real,-0.0056045555474149
mix:b508d329befdaf008664854f,real,0.0017617081525979
mix:2b5a076bdfcd6715436f331a,real,0.0012658761351676
mix:f6c001f7eb3a52037cc6479b,real,0.0011951590377831
mix:9fce58372b13fdb82bcbbef9,real,0.0016982073955112
mix:235fd270f90f8d819cdd0099,real,0.001506662956021
mix:0234eb8c9cb080dde8e9bfd0,real,0.000771423388833
mix:ea40b301baba781ede83b1a8,synthetic,0.0017031646834485
mix:963aab64e6d92fc9f4485a03,real,0.0012348975137756
mix:249ad859989f858cc479bbc1,real,0.0015154435263488
mix:26b3d125c204e8de091f78e4,real,0.0019931950824785
mix:1c4a6802803e7542995ff326,synthetic,0.00126575010013
mix:5e3f0f4bd87d887be242d211,real,0.0023640010543749
mix:cffe9587af3ddec0fe44a4be,real,0.0019336490391071
mix:08561004f68b7c4bd6cc156c,real,0.0039471500428089
mix:8a40631035f3987b09d73b41,real,0.0023606335955854
mix:8d75dc9b80408152da2ec412,synthetic,0.0009131188418317
mix:e6f0dd462d028802197eb41d,synthetic,0.0027574063342413
mix:6a7b693b9fcf2be942d786e5,real,-0.0057887136164867
mix:54e7a565695461f2ffe9d2d1,synthetic,0.0009744167899296
mix:f845fdc65c0081e8d3def260,real,0.0024319875482546
mix:bba12aa60ac9e19e6c223a32,synthetic,0.0009706357394065
mix:28a4e9072979463382acf6ef,synthetic,0.0016862286918294
mix:77b5889859b2df5bfc5da749,real,1.781652422859138e-06
mix:4b8e869944b21defdacc0224,real,0.0013247040229099
mix:e03099fee8b789405898b211,real,0.0023853558449887
mix:8aecf71aad6b02d0110f2b5f,real,-0.0027727464275555
mix:0c5eb71aa87a00933823400c,synthetic,0.0011887272794883
mix:533d1b26e86fa606361f3a2a,synthetic,0.0013211857091615
mix:4c20c9cf7301971b9e1107f9,synthetic,0.0012709822911008
mix:8b6d43916636363bdc781f57,synthetic,-0.0015699450051154
mix:491f5c4980527e951b3a7d1e,real,0.001609674630205
mix:f7faec7eacd6935577a7f817,synthetic,0.0010020493179717
mix:2cf703a382c6add7be0af823,real,-0.0023297007073051
mix:6be76454ef59249cefb2911a,real,-0.0007952506895571
mix:2d65a4db1651fe9f2422a1aa,synthetic,0.0002276637431991
mix:f68152c350a48c0d36aeb075,real,0.0019749442362015
mix:fb19d1406526802d9e90c7cf,real,0.0015585578935333
mix:198762b99ab57542e4719ba3,real,0.0029132939610246
mix:5ca959ac6d90131b596c2fb6,real,0.0016752810942025
mix:bc9fb07f8d49040de5e0c669,real,-0.003801303795618
mix:c895b223d30445ae2bab2c1c,real,0.0019590054209668
mix:c0f75984e2608c3cddfeea0b,real,0.0011569811163327
mix:ddff2680ee196408b4425ca4,real,0.0019868679426843
mix:03ea945246fe31b8a6a24266,real,-0.0029064115353654
mix:08b1cabb2e85a6771585dc4b,real,0.0053469025149079
mix:05f67e622f26cd86f158141b,synthetic,0.0013368118779991
mix:c25db9f5e586b8b9c953e10e,synthetic,0.0004636404068583
mix:44f5abdfe9c23ef677a40b61,real,0.0001093522916784
mix:d9030d9714abee9b8b71e435,synthetic,0.001403129522576
mix:9ec3c7a98ab55280a976e7dc,real,0.0009845462554668
mix:93bea82f26d9d36abc5420f2,real,0.0014996686381446
mix:da003d9650df381d217cef01,real,-0.0021056660915916
mix:9f27f5beb2e79d8c6358085f,real,0.0012151094935753
mix:700c42a3a1d62e308062b246,real,0.0042698557488389
mix:d5832c97b2cf8bc2a48337c1,synthetic,0.0009182552559461
mix:1caa1bee9aca8ae283cb3cb5,synthetic,0.0023230769746703
mix:50d59fc58d211e68a3b7bdb7,synthetic,0.0034834410296755
mix:9f4fa0fbdd460506f623ae8f,real,0.000452180397196
mix:2c6f2275b1d5b88cee4ab482,real,0.0013518106154599
mix:e2a9c2fc76d8e339e45baa13,synthetic,-0.0028132122710542
mix:f4561f5feaa0efe7993ea293,real,0.0012544438553504
mix:d59359180e39374f4b9ee997,synthetic,-0.0013608494262517
mix:d26cb9de3459a89aced73fff,real,0.0017071575146094
mix:635b5bf2478b2f1902587986,real,0.0016581296369007
mix:3bc1519b5d21dbb8d4ddb4a0,real,0.0001393629220509
mix:71e91263b8d945ed5877991c,real,-0.0005273340436928
mix:15bfc8eb49d33540c625ef6c,real,0.0015944311515884
mix:b1b2319a389be0629c4365d4,real,-0.0001400023006062
mix:8108326732f938a57df5c4c6,synthetic,0.0014843240835329
mix:4f5277a4076337461449ac6b,real,0.0008620152317151
mix:c235055678cc36c4f32dc9ba,real,0.0020081382449895
mix:120ed107a9957e200ed9fc8a,synthetic,0.0014213585095862
mix:e07b9b317de68617d7796fb3,real,0.0010756499999374
mix:a1c0cdf5aca247cf7688b6b7,real,-0.0027822829424463
mix:64fc32db277ec0c86ea89fa9,synthetic,0.0010875855720022
mix:6a4ac348f0beae04d03f08d5,real,0.0012853320539251
mix:1af79026be0f986b5634783c,real,0.0014899853954677
mix:51125647534d630bc36ddeda,synthetic,0.0009935778179874
mix:ee8dbcb01594ddc5ae06a045,synthetic,0.0015138591708554
mix:14aa916427298a9d14c2374e,synthetic,0.0017450763094011
mix:ff393b10c00982785c4195bc,synthetic,0.0024050098812498
mix:8ed3a8bc38657447bf7b2121,synthetic,0.0010999192156214
mix:88681c49c2e2603893f16ce1,real,0.0016952642363127
mix:b45613e01702509938948dbe,real,-0.0045481336710622
mix:7cc6c8019f1db37d8684a1b7,real,0.0013340123957581
mix:a0ac7ab4ef456de9e9a2b755,real,0.0011303298543912
mix:f44dc67567475285c4407089,synthetic,0.0010341884430954
mix:8ffddff4536aaf1ec4306d4e,real,0.0011406193645116
mix:6eac5bb58b050a591312f15b,real,0.0015964951083811
mix:602bbf0dd1daacd556048bda,real,0.0013652664902383
mix:05b4a0209720ab93f4d38257,real,0.0001345094855933
mix:3d28512a28cf8aa0c15f0d98,real,0.0015022765326734
mix:f2080ba40699dc0b97ea8381,real,0.0021319410128505
mix:cc04408aee54ec9cb0e5d0f6,real,0.0021944934800667
mix:b1cb6d990234d89eb428345b,real,-0.0031578103671375
mix:ec85a96f5f1a1accfb988230,real,-0.001959509955297
mix:72a2583311f6cc8ba9f6e2eb,synthetic,0.0018975950016565
mix:79aaf30b2795023ce0b96870,real,0.0022001945389446
mix:c47bb43c9103344f88f5394a,real,0.0043538727525097
mix:bd42525759b6b5af66daa66c,real,0.0003879659505981
mix:ee52a79db1a57c76b912977b,synthetic,0.0002842072794024
mix:014d0d1dbda18c28a88e87bf,synthetic,0.0009856723331434
mix:501350001665af000c6fa6cb,real,-0.0014349122658435
mix:f6d78fc54e3e4ef1d8d6dad3,real,0.0013529880543031
mix:64852e840a8f3472623d26be,real,0.0018058266959178
mix:bbd087e374503e4af50f65b6,real,0.0029762443354654
mix:22956c3c4c9ce180006d7276,real,0.0008555519306846
mix:9ee9bfb44ca2435a0a0eba76,synthetic,0.0002296633356604
mix:c8538a3fcc05292f4c28f6ce,real,0.0015437205958218
mix:a8588625117b8e4405f73f72,real,-0.0044195688817928
mix:a2c564d75742d03daefa86ea,synthetic,0.0010451050173546
mix:18c5aadc61f85dafc19c7c04,real,0.0011618730637184
mix:51865da11d4439213f2531ad,synthetic,0.0016487687326245
mix:d971cc6258ef9299b827d4bf,synthetic,0.0009741147055267
mix:e673c27dd03c66d705bce064,real,0.0017004853093111
mix:566e60d3f5261cdbbd62736d,real,0.0014816150579295
mix:3b29a6307d5e63f5ca9b9534,real,-0.0006643404459514
mix:323000a901842d423d1c6893,synthetic,-0.0002289507683044
mix:8e75af081b20ad8a3a79fc7b,real,-0.0014685430414076
mix:c0795627aafb495aa436ad3a,real,0.004045978733454
mix:4fe6bcbbcf33c4f8bd7d13a0,real,-0.0051378808575895
mix:026a3c28a8c78440e616a8e3,synthetic,0.0013919065125787
mix:b98f48c77ba046298e093b4c,real,0.0009128417806664
mix:dacaf1cb7112e806e33acb8f,real,0.0016522803647353
mix:c0ed9a2a21825805770f1466,synthetic,0.00052866248846
mix:d59760fe9d35b4248ece0962,real,0.0021879703035864
mix:88c2f408f975de05e41d1ebd,real,0.0025783638937877
mix:163d827da53ddea84b89cc10,real,0.0016691023262607
mix:8d60647bd0fda50d934d6ea4,synthetic,0.0010917197785863
mix:804d0bc62c8d3bbb82ac354d,real,0.0016413929424386
mix:f28c6ed71572132d57caff0c,real,0.0013746165979311
mix:027216fafd799fde9f1fffa7,real,0.00252914725164
mix:0b8c8b72c12c63d80c5868e3,real,0.0022626415747531
mix:99cbe237dc3d8ac1f10303e6,real,0.0020513839145018
mix:614da45ea8c8e6b2efb067ef,real,0.0023887928858107
mix:a69b4debe5b81187d50fbcee,real,-0.0009456836040569
mix:d20362eb4f8c15e6e88a3586,real,0.0045911469649474
mix:68c2709acbda7b1a57e92eb6,real,0.0018949077130185
mix:bd7e620daff0a0d6c13cca7d,synthetic,0.0002834196548021
mix:735d83a560d4ab5d7a8ffd9c,real,0.0015725790643188
mix:b294c298d7007fc9dcd47765,real,0.0044022024762276
mix:7eac24f0495943a6c3c6151f,real,0.0002677575177366
mix:1f198b47c0f71e3536a6e60c,real,0.0034006458532667
mix:402dab19cbb72d857a8da455,real,0.001648840764232
mix:b9b138164f12cba0d7f92c1e,synthetic,0.0002522407224021
mix:90295a89d07872f103ec4d0b,real,0.0014714694668225
mix:501b48ff51143cca3fac3ba8,real,0.0026767292695251
mix:beea9359959ea0ad5006313b,real,0.0021095509822069
mix:e37ef8a6d5bbce44fe5d2ade,real,0.0013147805972456
mix:d49427c0cfa170d37f110217,real,0.0012569119208105
mix:5eed68a77fdb2b8548edb649,real,0.0033455358279274
mix:d39264def09f0783fd120fb4,real,0.001926472578736
mix:521bbead66925c5c90460652,real,-0.0005495776132976
mix:453c1512f5bf911259294822,real,0.0029885174320682
mix:9bcfa8d828fb2fba668e0db9,real,0.0017669849941334
mix:ae171c302b015e1e363a7af7,real,0.0016328402812645
