algorithm_id,status,run_id,auprc,auroc,balanced_accuracy,brier,ece,f1,label_permutation_auroc,label_permutation_aurocs,pmse,reload_max_delta,tpr_at_fpr_005,shuffled_auroc,parameter_count,truncation_rate,column_permutation_max_delta
D-LR,runthrough_passed,runthrough-d-lr-20260715T025856794836,0.9395958135207899,0.9287115555555556,0.8280000000000001,0.12114586501613844,0.12545988377031025,0.8057228915662651,0.4854496888888889,"[0.4848786666666667, 0.5259297777777778, 0.47911111111111104, 0.3959475555555556, 0.5413813333333333]",0.08850281059017648,0.0,0.68,,,,
D-XGB,runthrough_passed,runthrough-d-xgb-20260715T025903115090,0.9994723791829412,0.999452888888889,0.988,0.00977572683311584,0.015601049030199633,0.9879194630872483,0.45280515555555556,"[0.4532937777777778, 0.5062686666666667, 0.5256473333333334, 0.3337111111111111, 0.4451048888888889]",,0.0,0.996,,,,
D-3G,runthrough_passed,runthrough-d-3g-20260715T025239531938,0.6483746604607662,0.6470661157024793,0.5,0.3317406967508666,0.29438580452184093,0.6666666666666666,,,,,0.15454545454545454,0.6166322314049586,,,
D-FT,runthrough_passed,runthrough-d-ft-20260715T025239973258,0.5397073251430402,0.54515625,0.5,0.25005637858158314,0.015137660875916503,0.0,,,,0.0,0.0625,,5537.0,1.0,
D-TT,runthrough_passed,runthrough-d-tt-20260715T025241846411,0.37867439154710303,0.2859375,0.5,0.25216222227899854,0.03260210994631052,0.0,,,,0.0,0.0,,7049.0,0.0,
D-DW,runthrough_passed,runthrough-d-dw-20260715T025244913596,0.37648839822578584,0.28171874999999996,0.5,0.252738005351293,0.036797722801566124,0.0,,,,0.0,0.0,,6265.0,0.0,5.960464477539063e-08
D-DWTA,runthrough_passed,runthrough-d-dwta-20260715T025251199918,0.39531463088914875,0.30078125,0.5,0.2539614165409111,0.05327109061181545,0.0,,,,0.0,0.0125,,6265.0,0.0,5.960464477539063e-08
