algorithm_id,test_table,fold,run_id,auroc,auprc,balanced_accuracy,f1,tpr_at_fpr_005,brier,ece,shuffled_auroc,reload_max_delta,parameter_count,truncation_rate,column_permutation_max_delta
D-3G,adult,0,runthrough-d-3g-20260715T025238552654,0.9516528925619834,0.960803744724061,0.884090909090909,0.8843537414965986,0.8590909090909091,0.1535708966839791,0.2504950989701987,0.9451652892561982,,,,
D-3G,credit,1,runthrough-d-3g-20260715T025239028860,0.8478925619834711,0.8252024193420104,0.5863636363636363,0.7045454545454546,0.36363636363636365,0.2391402189903802,0.2498697754998578,0.8377272727272727,,,,
D-3G,abalone,2,runthrough-d-3g-20260715T025239531938,0.6470661157024793,0.6483746604607662,0.5,0.6666666666666666,0.15454545454545454,0.3317406967508666,0.29438580452184093,0.6166322314049586,,,,
D-FT,abalone,0,runthrough-d-ft-20260715T025239973258,0.54515625,0.5397073251430402,0.5,0.0,0.0625,0.25005637858158314,0.015137660875916503,,0.0,5537.0,1.0,
D-TT,abalone,0,runthrough-d-tt-20260715T025241846411,0.2859375,0.37867439154710303,0.5,0.0,0.0,0.25216222227899854,0.03260210994631052,,0.0,7049.0,0.0,
D-DW,abalone,0,runthrough-d-dw-20260715T025244913596,0.28171874999999996,0.37648839822578584,0.5,0.0,0.0,0.252738005351293,0.036797722801566124,,0.0,6265.0,0.0,5.960464477539063e-08
D-DWTA,abalone,0,runthrough-d-dwta-20260715T025251199918,0.30078125,0.39531463088914875,0.5,0.0,0.0125,0.2539614165409111,0.05327109061181545,,0.0,6265.0,0.0,5.960464477539063e-08
