algorithm_id,deleted_fraction,deleted_count,synthetic_fraction_deleted,baseline_real_test_auroc,post_deletion_real_test_auroc,delta_real_test_auroc
V-KNN,0.05,40,0.025,0.8404255319148937,0.8555646481178395,0.015139116202945835
V-KNN,0.1,80,0.1125,0.8404255319148937,0.8657937806873977,0.025368248772503987
V-KNN,0.2,160,0.23125,0.8404255319148937,0.8379705400981997,-0.002454991816693952
V-OOB,0.05,40,0.325,0.8404255319148937,0.8355155482815058,-0.004909983633387904
V-OOB,0.1,80,0.4,0.8404255319148937,0.84328968903437,0.002864157119476296
V-OOB,0.2,160,0.38125,0.8404255319148937,0.8175122749590835,-0.022913256955810146
