algorithm_id,bag_id,true_proportion,raw,clipped,out_of_range
Q-ACC,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,1.005173639521938,1.0,True
Q-ACC,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,1.000019449772639,1.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,-0.0022615353975568,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,-0.0063303931164682,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,-0.00281833626086,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0509009342373978,0.0509009342373978,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0539280104507196,0.0539280104507196,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0505252491198,0.0505252491198,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.094295096319964,0.094295096319964,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1002378047245414,0.1002378047245414,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0943212083310339,0.0943212083310339,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2536501792595522,0.2536501792595522,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2471279518929419,0.2471279518929419,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2492941692016936,0.2492941692016936,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4959663784431661,0.4959663784431661,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.4983691446879684,0.4983691446879684,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5014434253891229,0.5014434253891229,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.749750561746122,0.749750561746122,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7519827769786352,0.7519827769786352,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7515181938367319,0.7515181938367319,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,1.003474952442876,1.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,1.0042589426589106,1.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,1.0026740488554386,1.0,True
Q-EMQ,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,1.5421006532035943e-10,1.5421006532035943e-10,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,2.91193398792333e-10,2.91193398792333e-10,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,6.441788383199683e-11,6.441788383199683e-11,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0475687628357589,0.0475687628357589,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0492224622782337,0.0492224622782337,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0471856093332331,0.0471856093332331,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.0947437636282256,0.0947437636282256,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.0982164405066837,0.0982164405066837,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0951596155189356,0.0951596155189356,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2536625338676114,0.2536625338676114,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2493872845325351,0.2493872845325351,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2512220851996947,0.2512220851996947,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.5007663873459759,0.5007663873459759,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.5029630422710174,0.5029630422710174,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5080156574456868,0.5080156574456868,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7596563646301151,0.7596563646301151,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7598620761194541,0.7598620761194541,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7557145803741588,0.7557145803741588,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,0.9999999999686308,0.9999999999686308,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,0.9999999996147536,0.9999999996147536,False
Q-EMQ,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,0.9999999989720432,0.9999999989720432,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,5.9608609865491405e-06,5.9608609865491405e-06,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,5.9608609865491405e-06,5.9608609865491405e-06,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,5.9608609865491405e-06,5.9608609865491405e-06,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.048259001442792,0.048259001442792,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0523965916429838,0.0523965916429838,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0476015142291864,0.0476015142291864,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.0931804725417971,0.0931804725417971,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1008895108236835,0.1008895108236835,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0979991221445029,0.0979991221445029,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2527040043046527,0.2527040043046527,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2496829583350772,0.2496829583350772,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2468502370749043,0.2468502370749043,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4941290595044469,0.4941290595044469,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.5008460193617722,0.5008460193617722,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5000524460849476,0.5000524460849476,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7486745145449702,0.7486745145449702,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7506243945751464,0.7506243945751464,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7460829301068983,0.7460829301068983,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,0.9999940391390134,0.9999940391390134,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,0.9999940391390134,0.9999940391390134,False
Q-HDy,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,0.9994149489353704,0.9994149489353704,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,5.9608609865491405e-06,5.9608609865491405e-06,False
