algorithm_id,model,condition,proportion,n_train,auroc,auprc,f1,balanced_accuracy,log_loss,train_seconds,delta_auroc_vs_real_only
V-CURVE-LR,lr,real_only,0.0,3500,0.9062443321135696,0.7792300706842056,0.6704545454545454,0.7751661080120896,0.3135178866195049,0.2439113000000361,0.0
V-CURVE-LR,lr,real_only,0.05,3500,0.9053388548065754,0.776520464637368,0.6734926052332195,0.7768780693119341,0.3153807553422798,0.2654767999993055,0.0
V-CURVE-LR,lr,real_only,0.1,3500,0.9096308726226028,0.7810027600425726,0.672,0.7754187832544848,0.3087758055027274,0.2790089999980409,0.0
V-CURVE-LR,lr,real_only,0.25,3500,0.9066749184170484,0.7760823683342252,0.665158371040724,0.7724718284411254,0.3140500172456263,0.279117000005499,0.0
V-CURVE-LR,lr,real_only,0.5,3500,0.9040207899804922,0.7718983350400037,0.6666666666666666,0.7747355217086107,0.3182446476571339,0.2741622999965329,0.0
V-CURVE-LR,lr,real_only,0.75,3500,0.9065544650138244,0.7768252585390888,0.685456595264938,0.7853347289313845,0.3138173880254309,0.2490625999998883,0.0
V-CURVE-LR,lr,real_only,1.0,3500,0.9088167737594336,0.7808870866617975,0.6750572082379863,0.7771307445543293,0.3093380419068987,0.2502227000004495,0.0
V-CURVE-LR,lr,real_append_bootstrap_control,0.0,3500,0.905093794434499,0.7740900234910002,0.671892497200448,0.7778320048845931,0.3173510620036515,0.2916148000003886,-0.0011505376790705
V-CURVE-LR,lr,real_append_bootstrap_control,0.05,3500,0.9061211096665932,0.771417460446097,0.6557377049180327,0.7629117048863931,0.313161066309084,0.2703485000020009,0.0007822548600179
V-CURVE-LR,lr,real_append_bootstrap_control,0.1,3500,0.9093138171129672,0.7816107481796476,0.6773455377574371,0.7785152664304672,0.3093154253472691,0.2257654999993974,-0.0003170555096354
V-CURVE-LR,lr,real_append_bootstrap_control,0.25,3500,0.9037023499489804,0.7737050624446962,0.6772009029345373,0.7801240808505394,0.3175323355045398,0.3083815999998478,-0.0029725684680681
V-CURVE-LR,lr,real_append_bootstrap_control,0.5,3500,0.9086118645217656,0.7758257337271202,0.6794150731158605,0.7819108063316955,0.3114734709889575,0.2407306999957654,0.0045910745412732
